channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8
0.3714749089952522,0.5439190991154615,0.5151927249601032,0.0565239749088531,0.04988178889706314,0.047327672035912975,0.21093373838991153,0.7589907599079458
0.36892918288715243,0.5508803773761998,0.5137535490065651,0.056778312644665645,0.049947071369533025,0.047498161770797194,0.21463876902905726,0.7536183089039653
0.36638345677905265,0.5578416556369381,0.512314373053027,0.05703265038047819,0.0500123538420029,0.04766865150568141,0.218343799668203,0.7482458578999847
0.3638377306709528,0.5648029338976764,0.5108751970994889,0.05728698811629074,0.05007763631447278,0.04783914124056564,0.22204883030734876,0.7428734068960041
0.36129200456285304,0.5717642121584148,0.5094360211459508,0.057541325852103274,0.05014291878694265,0.04800963097544986,0.2257538609464945,0.7375009558920236
0.35874627845475326,0.5787254904191531,0.5079968451924126,0.05779566358791582,0.050208201259412534,0.04818012071033408,0.22945889158564023,0.7321285048880429
0.37911208731955154,0.5230352643332465,0.5195102528207175,0.05576096170141547,0.049685941479653516,0.046816202831260305,0.19981864647247424,0.7751081129198876
0.37656636121145176,0.5299965425939848,0.5180710768671793,0.056015299437228015,0.049751223952123384,0.04698669256614453,0.20352367711162003,0.7697356619159071
0.374020635103352,0.5369578208547231,0.5166319009136413,0.05626963717304055,0.04981650642459327,0.04715718230102875,0.20722870775076577,0.7643632109119265
0.3714749089952522,0.5439190991154615,0.5151927249601032,0.0565239749088531,0.04988178889706314,0.047327672035912975,0.21093373838991153,0.7589907599079458
0.36892918288715243,0.5508803773761998,0.5137535490065651,0.056778312644665645,0.049947071369533025,0.047498161770797194,0.21463876902905726,0.7536183089039653
0.36638345677905265,0.5578416556369381,0.512314373053027,0.05703265038047819,0.0500123538420029,0.04766865150568141,0.218343799668203,0.7482458578999847
0.3638377306709528,0.5648029338976764,0.5108751970994889,0.05728698811629074,0.05007763631447278,0.04783914124056564,0.22204883030734876,0.7428734068960041
0.36129200456285304,0.5717642121584148,0.5094360211459508,0.057541325852103274,0.05014291878694265,0.04800963097544986,0.2257538609464945,0.7375009558920236
0.35874627845475326,0.5787254904191531,0.5079968451924126,0.05779566358791582,0.050208201259412534,0.04818012071033408,0.22945889158564023,0.7321285048880429
0.38165781342765137,0.5160739860725081,0.5209494287742557,0.05550662396560293,0.049620659007183626,0.046645713096376086,0.19611361583332854,0.7804805639238682
0.37911208731955154,0.5230352643332465,0.5195102528207175,0.05576096170141547,0.049685941479653516,0.046816202831260305,0.19981864647247424,0.7751081129198876
0.37656636121145176,0.5299965425939848,0.5180710768671793,0.056015299437228015,0.049751223952123384,0.04698669256614453,0.20352367711162003,0.7697356619159071
0.374020635103352,0.5369578208547231,0.5166319009136413,0.05626963717304055,0.04981650642459327,0.04715718230102875,0.20722870775076577,0.7643632109119265
0.3714749089952522,0.5439190991154615,0.5151927249601032,0.0565239749088531,0.04988178889706314,0.047327672035912975,0.21093373838991153,0.7589907599079458
0.36892918288715243,0.5508803773761998,0.5137535490065651,0.056778312644665645,0.049947071369533025,0.047498161770797194,0.21463876902905726,0.7536183089039653
0.36638345677905265,0.5578416556369381,0.512314373053027,0.05703265038047819,0.0500123538420029,0.04766865150568141,0.218343799668203,0.7482458578999847
0.3638377306709528,0.5648029338976764,0.5108751970994889,0.05728698811629074,0.05007763631447278,0.04783914124056564,0.22204883030734876,0.7428734068960041
0.36129200456285304,0.5717642121584148,0.5094360211459508,0.057541325852103274,0.05014291878694265,0.04800963097544986,0.2257538609464945,0.7375009558920236
0.35874627845475326,0.5787254904191531,0.5079968451924126,0.05779566358791582,0.050208201259412534,0.04818012071033408,0.22945889158564023,0.7321285048880429
0.38165781342765137,0.5160739860725081,0.5209494287742557,0.05550662396560293,0.049620659007183626,0.046645713096376086,0.19611361583332854,0.7804805639238682
0.37911208731955154,0.5230352643332465,0.5195102528207175,0.05576096170141547,0.049685941479653516,0.046816202831260305,0.19981864647247424,0.7751081129198876
0.37656636121145176,0.5299965425939848,0.5180710768671793,0.056015299437228015,0.049751223952123384,0.04698669256614453,0.20352367711162003,0.7697356619159071
0.374020635103352,0.5369578208547231,0.5166319009136413,0.05626963717304055,0.04981650642459327,0.04715718230102875,0.20722870775076577,0.7643632109119265
0.3714749089952522,0.5439190991154615,0.5151927249601032,0.0565239749088531,0.04988178889706314,0.047327672035912975,0.21093373838991153,0.7589907599079458
0.36892918288715243,0.5508803773761998,0.5137535490065651,0.056778312644665645,0.049947071369533025,0.047498161770797194,0.21463876902905726,0.7536183089039653
0.36638345677905265,0.5578416556369381,0.512314373053027,0.05703265038047819,0.0500123538420029,0.04766865150568141,0.218343799668203,0.7482458578999847
0.3638377306709528,0.5648029338976764,0.5108751970994889,0.05728698811629074,0.05007763631447278,0.04783914124056564,0.22204883030734876,0.7428734068960041
0.36129200456285304,0.5717642121584148,0.5094360211459508,0.057541325852103274,0.05014291878694265,0.04800963097544986,0.2257538609464945,0.7375009558920236
0.35874627845475326,0.5787254904191531,0.5079968451924126,0.05779566358791582,0.050208201259412534,0.04818012071033408,0.22945889158564023,0.7321285048880429
0.38165781342765137,0.5160739860725081,0.5209494287742557,0.05550662396560293,0.049620659007183626,0.046645713096376086,0.19611361583332854,0.7804805639238682
0.37911208731955154,0.5230352643332465,0.5195102528207175,0.05576096170141547,0.049685941479653516,0.046816202831260305,0.19981864647247424,0.7751081129198876
0.37656636121145176,0.5299965425939848,0.5180710768671793,0.056015299437228015,0.049751223952123384,0.04698669256614453,0.20352367711162003,0.7697356619159071
0.374020635103352,0.5369578208547231,0.5166319009136413,0.05626963717304055,0.04981650642459327,0.04715718230102875,0.20722870775076577,0.7643632109119265
0.3714749089952522,0.5439190991154615,0.5151927249601032,0.0565239749088531,0.04988178889706314,0.047327672035912975,0.21093373838991153,0.7589907599079458
0.36892918288715243,0.5508803773761998,0.5137535490065651,0.056778312644665645,0.049947071369533025,0.047498161770797194,0.21463876902905726,0.7536183089039653
0.36638345677905265,0.5578416556369381,0.512314373053027,0.05703265038047819,0.0500123538420029,0.04766865150568141,0.218343799668203,0.7482458578999847
0.3638377306709528,0.5648029338976764,0.5108751970994889,0.05728698811629074,0.05007763631447278,0.04783914124056564,0.22204883030734876,0.7428734068960041
0.36129200456285304,0.5717642121584148,0.5094360211459508,0.057541325852103274,0.05014291878694265,0.04800963097544986,0.2257538609464945,0.7375009558920236
0.35874627845475326,0.5787254904191531,0.5079968451924126,0.05779566358791582,0.050208201259412534,0.04818012071033408,0.22945889158564023,0.7321285048880429
0.38165781342765137,0.5160739860725081,0.5209494287742557,0.05550662396560293,0.049620659007183626,0.046645713096376086,0.19611361583332854,0.7804805639238682
0.37911208731955154,0.5230352643332465,0.5195102528207175,0.05576096170141547,0.049685941479653516,0.046816202831260305,0.19981864647247424,0.7751081129198876
0.37656636121145176,0.5299965425939848,0.5180710768671793,0.056015299437228015,0.049751223952123384,0.04698669256614453,0.20352367711162003,0.7697356619159071
0.374020635103352,0.5369578208547231,0.5166319009136413,0.05626963717304055,0.04981650642459327,0.04715718230102875,0.20722870775076577,0.7643632109119265
0.3714749089952522,0.5439190991154615,0.5151927249601032,0.0565239749088531,0.04988178889706314,0.047327672035912975,0.21093373838991153,0.7589907599079458
0.36892918288715243,0.5508803773761998,0.5137535490065651,0.056778312644665645,0.049947071369533025,0.047498161770797194,0.21463876902905726,0.7536183089039653
0.36638345677905265,0.5578416556369381,0.512314373053027,0.05703265038047819,0.0500123538420029,0.04766865150568141,0.218343799668203,0.7482458578999847
0.3638377306709528,0.5648029338976764,0.5108751970994889,0.05728698811629074,0.05007763631447278,0.04783914124056564,0.22204883030734876,0.7428734068960041
0.36129200456285304,0.5717642121584148,0.5094360211459508,0.057541325852103274,0.05014291878694265,0.04800963097544986,0.2257538609464945,0.7375009558920236
0.35874627845475326,0.5787254904191531,0.5079968451924126,0.05779566358791582,0.050208201259412534,0.04818012071033408,0.22945889158564023,0.7321285048880429
0.38165781342765137,0.5160739860725081,0.5209494287742557,0.05550662396560293,0.049620659007183626,0.046645713096376086,0.19611361583332854,0.7804805639238682
0.37911208731955154,0.5230352643332465,0.5195102528207175,0.05576096170141547,0.049685941479653516,0.046816202831260305,0.19981864647247424,0.7751081129198876
0.37656636121145176,0.5299965425939848,0.5180710768671793,0.056015299437228015,0.049751223952123384,0.04698669256614453,0.20352367711162003,0.7697356619159071
0.374020635103352,0.5369578208547231,0.5166319009136413,0.05626963717304055,0.04981650642459327,0.04715718230102875,0.20722870775076577,0.7643632109119265
0.3714749089952522,0.5439190991154615,0.5151927249601032,0.0565239749088531,0.04988178889706314,0.047327672035912975,0.21093373838991153,0.7589907599079458
0.36892918288715243,0.5508803773761998,0.5137535490065651,0.056778312644665645,0.049947071369533025,0.047498161770797194,0.21463876902905726,0.7536183089039653
0.36638345677905265,0.5578416556369381,0.512314373053027,0.05703265038047819,0.0500123538420029,0.04766865150568141,0.218343799668203,0.7482458578999847
0.3638377306709528,0.5648029338976764,0.5108751970994889,0.05728698811629074,0.05007763631447278,0.04783914124056564,0.22204883030734876,0.7428734068960041
0.36129200456285304,0.5717642121584148,0.5094360211459508,0.057541325852103274,0.05014291878694265,0.04800963097544986,0.2257538609464945,0.7375009558920236
0.35874627845475326,0.5787254904191531,0.5079968451924126,0.05779566358791582,0.050208201259412534,0.04818012071033408,0.22945889158564023,0.7321285048880429
0.38165781342765137,0.5160739860725081,0.5209494287742557,0.05550662396560293,0.049620659007183626,0.046645713096376086,0.19611361583332854,0.7804805639238682
0.37911208731955154,0.5230352643332465,0.5195102528207175,0.05576096170141547,0.049685941479653516,0.046816202831260305,0.19981864647247424,0.7751081129198876
0.37656636121145176,0.5299965425939848,0.5180710768671793,0.056015299437228015,0.049751223952123384,0.04698669256614453,0.20352367711162003,0.7697356619159071
0.374020635103352,0.5369578208547231,0.5166319009136413,0.05626963717304055,0.04981650642459327,0.04715718230102875,0.20722870775076577,0.7643632109119265
0.3714749089952522,0.5439190991154615,0.5151927249601032,0.0565239749088531,0.04988178889706314,0.047327672035912975,0.21093373838991153,0.7589907599079458
0.36892918288715243,0.5508803773761998,0.5137535490065651,0.056778312644665645,0.049947071369533025,0.047498161770797194,0.21463876902905726,0.7536183089039653
0.36638345677905265,0.5578416556369381,0.512314373053027,0.05703265038047819,0.0500123538420029,0.04766865150568141,0.218343799668203,0.7482458578999847
0.3638377306709528,0.5648029338976764,0.5108751970994889,0.05728698811629074,0.05007763631447278,0.04783914124056564,0.22204883030734876,0.7428734068960041
0.36129200456285304,0.5717642121584148,0.5094360211459508,0.057541325852103274,0.05014291878694265,0.04800963097544986,0.2257538609464945,0.7375009558920236
0.35874627845475326,0.5787254904191531,0.5079968451924126,0.05779566358791582,0.050208201259412534,0.04818012071033408,0.22945889158564023,0.7321285048880429
0.38165781342765137,0.5160739860725081,0.5209494287742557,0.05550662396560293,0.049620659007183626,0.046645713096376086,0.19611361583332854,0.7804805639238682
0.37911208731955154,0.5230352643332465,0.5195102528207175,0.05576096170141547,0.049685941479653516,0.046816202831260305,0.19981864647247424,0.7751081129198876
0.37656636121145176,0.5299965425939848,0.5180710768671793,0.056015299437228015,0.049751223952123384,0.04698669256614453,0.20352367711162003,0.7697356619159071
0.374020635103352,0.5369578208547231,0.5166319009136413,0.05626963717304055,0.04981650642459327,0.04715718230102875,0.20722870775076577,0.7643632109119265
0.3714749089952522,0.5439190991154615,0.5151927249601032,0.0565239749088531,0.04988178889706314,0.047327672035912975,0.21093373838991153,0.7589907599079458
0.36892918288715243,0.5508803773761998,0.5137535490065651,0.056778312644665645,0.049947071369533025,0.047498161770797194,0.21463876902905726,0.7536183089039653
0.36638345677905265,0.5578416556369381,0.512314373053027,0.05703265038047819,0.0500123538420029,0.04766865150568141,0.218343799668203,0.7482458578999847
0.3638377306709528,0.5648029338976764,0.5108751970994889,0.05728698811629074,0.05007763631447278,0.04783914124056564,0.22204883030734876,0.7428734068960041
0.36129200456285304,0.5717642121584148,0.5094360211459508,0.057541325852103274,0.05014291878694265,0.04800963097544986,0.2257538609464945,0.7375009558920236
0.35874627845475326,0.5787254904191531,0.5079968451924126,0.05779566358791582,0.050208201259412534,0.04818012071033408,0.22945889158564023,0.7321285048880429
0.38165781342765137,0.5160739860725081,0.5209494287742557,0.05550662396560293,0.049620659007183626,0.046645713096376086,0.19611361583332854,0.7804805639238682
0.37911208731955154,0.5230352643332465,0.5195102528207175,0.05576096170141547,0.049685941479653516,0.046816202831260305,0.19981864647247424,0.7751081129198876
0.37656636121145176,0.5299965425939848,0.5180710768671793,0.056015299437228015,0.049751223952123384,0.04698669256614453,0.20352367711162003,0.7697356619159071
0.374020635103352,0.5369578208547231,0.5166319009136413,0.05626963717304055,0.04981650642459327,0.04715718230102875,0.20722870775076577,0.7643632109119265
0.3714749089952522,0.5439190991154615,0.5151927249601032,0.0565239749088531,0.04988178889706314,0.047327672035912975,0.21093373838991153,0.7589907599079458
0.36892918288715243,0.5508803773761998,0.5137535490065651,0.056778312644665645,0.049947071369533025,0.047498161770797194,0.21463876902905726,0.7536183089039653
0.36638345677905265,0.5578416556369381,0.512314373053027,0.05703265038047819,0.0500123538420029,0.04766865150568141,0.218343799668203,0.7482458578999847
0.3638377306709528,0.5648029338976764,0.5108751970994889,0.05728698811629074,0.05007763631447278,0.04783914124056564,0.22204883030734876,0.7428734068960041
